一 P21'S01
折 P02'S01'S12'S02'S04'S04'S01'S03
抓 P02'S01'S12'S02'S04'S04'S03'S05
扮 P02'S01'S12'S02'S04'S05'S20'S04
抢 P02'S01'S12'S02'S04'S05'S20'S24
孝 P11'S01'S03'S01'S04'S09'S12'S01
均 P02'S01'S03'S01'S04'S20'S06'S02
抛 P04'S01'S12'S02'S04'S27'S20'S04
投 P04'S01'S12'S02'S04'S27'S09'S05
坟 P02'S01'S03'S01'S06'S01'S04'S05
抗 P02'S01'S12'S02'S06'S01'S04'S27
坑 P02'S01'S03'S01'S06'S01'S04'S27
坊 P02'S01'S03'S01'S06'S01'S20'S04
抖 P02'S01'S12'S02'S06'S06'S01'S03
护 P02'S01'S12'S02'S06'S08'S01'S04
壳 P12'S01'S03'S01'S06'S10'S04'S27
志 P12'S01'S03'S01'S06'S24'S06'S06
扭 P02'S01'S12'S02'S08'S01'S04'S01
块 P02'S01'S03'S01'S08'S01'S04'S05
声 P12'S01'S03'S01'S08'S03'S01'S04
把 P02'S01'S12'S02'S08'S03'S01'S24
报 P02'S01'S12'S02'S20'S03'S09'S05
却 P01'S01'S03'S01'S14'S06'S20'S03
劫 P01'S01'S03'S01'S14'S06'S20'S04
芽 P12'S01'S03'S03'S01'S14'S12'S04
花 P14'S01'S03'S03'S04'S03'S01'S24
芹 P12'S01'S03'S03'S04'S04'S01'S03
芬 P12'S01'S03'S03'S04'S05'S20'S04
苍 P12'S01'S03'S03'S04'S05'S20'S24
芳 P12'S01'S03'S03'S06'S01'S20'S04
严 P21'S01'S03'S03'S06'S04'S01'S04
芦 P12'S01'S03'S03'S06'S08'S01'S04
劳 P14'S01'S03'S03'S06'S10'S20'S04
克 P13'S01'S03'S01'S03'S08'S01'S04'S24
苏 P12'S01'S03'S03'S20'S04'S06'S06
杆 P02'S01'S03'S04'S05'S01'S01'S03
杠 P02'S01'S03'S04'S05'S01'S03'S01
杜 P02'S01'S03'S04'S05'S01'S03'S01
材 P02'S01'S03'S04'S05'S01'S12'S04
村 P02'S01'S03'S04'S05'S01'S12'S06
杏 P11'S01'S03'S04'S05'S03'S08'S01
极 P02'S01'S03'S04'S05'S04'S26
李 P12'S01'S03'S04'S05'S09'S12'S01
杨 P02'S01'S03'S04'S05'S30'S04'S04
求 P21'S01'S12'S06'S01'S04'S05'S06
更 P21'S01'S03'S08'S01'S01'S04'S05
束 P21'S01'S03'S08'S01'S03'S04'S05
豆 P21'S01'S03'S08'S01'S06'S04'S01
两 P21'S01'S03'S20'S04'S06'S04'S06
